Fault,Stage,MTTR,Success
CommunicationLoss,AS2,7.656489282911365,1
SensorDrift,AS1,4.275954471510805,1
ActuatorFailure,AS5,11.011963643407475,1
SensorDrift,AS1,4.699104785849077,1
CommunicationLoss,AS2,7.7888736853893725,1
InformationDelay,AS4,5.998358878600874,1
MissingData,AS1,4.567078885339103,1
SensorNoise,AS1,3.212128769589578,1
SensorNoise,AS1,3.6232519803986114,1
SensorDrift,AS1,4.221983862890547,0
SensorNoise,AS1,3.50904086617685,1
CommunicationLoss,AS2,7.815960991355024,1
GatewayFailure,AS2,10.317292839797725,1
SensorDrift,AS1,4.675906281635982,1
CommunicationLoss,AS2,8.40981518170959,1
SensorDrift,AS1,4.464007310235963,0
ModelDrift,AS3,14.032077591504118,1
CommunicationLoss,AS2,7.522821712774055,1
CommunicationLoss,AS2,7.643939912780877,1
CommunicationLoss,AS2,8.816866833461724,1
PacketDelay,AS2,6.4352274727570205,1
PacketDelay,AS2,6.471763020758404,1
InformationDelay,AS4,5.99518173538005,1
PacketDelay,AS2,7.0582608703314955,1
SensorNoise,AS1,3.4302107253404492,1
SensorDrift,AS1,4.811953150466725,1
CommunicationLoss,AS2,7.892928575406193,1
SensorDrift,AS1,4.746856099073931,1
SensorDrift,AS1,4.364431951152739,1
CommunicationLoss,AS2,7.426115286994972,0
InformationDelay,AS4,5.810257260295472,1
ModelDrift,AS3,12.831549412168771,1
SensorNoise,AS1,3.0041796015321123,1
AnalyticsFailure,AS3,11.928738876627941,1
PacketDelay,AS2,6.115163725492783,1
PacketDelay,AS2,6.858188181620226,1
InformationDelay,AS4,5.604931932821999,1
InformationDelay,AS4,5.568936876243904,1
SensorNoise,AS1,3.4804839192094126,1
GatewayFailure,AS2,10.025316604649872,1
SensorNoise,AS1,3.3845328253049964,1
GatewayFailure,AS2,10.61272579871226,1
PacketDelay,AS2,6.44692212033292,0
CommunicationLoss,AS2,7.881996633958995,1
InformationDelay,AS4,6.180187649687785,1
SensorDrift,AS1,4.539396725674927,1
AnalyticsFailure,AS3,12.699781611174627,1
SensorDrift,AS1,4.059214423091352,1
PacketDelay,AS2,7.230559971153204,0
SensorDrift,AS1,4.717516323464339,1
CommunicationLoss,AS2,8.683497797527718,0
CommunicationLoss,AS2,7.536428739300066,1
SensorDrift,AS1,4.310218021018933,1
CommunicationLoss,AS2,8.123899138033298,1
CommunicationLoss,AS2,7.676922732277378,1
CommunicationLoss,AS2,7.681372266523867,1
MissingData,AS1,5.098341137649456,1
ModelDrift,AS3,14.397049858530432,1
PacketDelay,AS2,6.093102287638567,1
MissingData,AS1,5.1558216010469184,1
ActuatorFailure,AS5,11.62257162339624,1
InformationDelay,AS4,6.501886668244042,1
ModelDrift,AS3,13.013416863069153,1
ModelDrift,AS3,13.536686678852625,1
SensorDrift,AS1,4.716236608764976,1
AnalyticsFailure,AS3,12.521371444382696,1
AnalyticsFailure,AS3,12.968027402075286,1
SensorNoise,AS1,3.0690558810391595,1
MissingData,AS1,5.359808192825919,1
ModelDrift,AS3,12.978917420043475,1
SensorDrift,AS1,4.288071186729319,1
MissingData,AS1,5.25129463926417,0
SensorNoise,AS1,3.2769621574251455,1
MissingData,AS1,5.002560481370827,1
ModelDrift,AS3,12.520421742981423,1
MissingData,AS1,5.223127096395703,1
PacketDelay,AS2,6.13874761736705,0
InformationDelay,AS4,6.28408757561006,1
ModelDrift,AS3,12.873365552435637,1
SensorDrift,AS1,4.825141852867511,1
SensorDrift,AS1,4.0852886669803725,1
MissingData,AS1,4.969561626307117,1
CommunicationLoss,AS2,7.565088988902208,1
MissingData,AS1,5.017142521006317,1
SensorNoise,AS1,3.142254019689583,1
SensorDrift,AS1,4.607110524528484,1
MissingData,AS1,4.655685500016442,1
InformationDelay,AS4,5.64389372664672,1
PacketDelay,AS2,7.2133178333703025,1
GatewayFailure,AS2,9.14742884158368,1
CommunicationLoss,AS2,8.574848672341178,1
MissingData,AS1,4.545300774753435,1
CommunicationLoss,AS2,8.542352572031968,1
CommunicationLoss,AS2,8.092247173637839,1
PacketDelay,AS2,6.549897088516636,1
PacketDelay,AS2,6.97086719138167,1
CommunicationLoss,AS2,8.557370682358675,0
MissingData,AS1,4.529237308886515,0
CommunicationLoss,AS2,8.760342797730162,1
CommunicationLoss,AS2,7.627170637774832,0
PacketDelay,AS2,6.4613982684529345,1
AnalyticsFailure,AS3,11.409612976447466,1
PacketDelay,AS2,5.9857372657255885,1
CommunicationLoss,AS2,8.104787140388673,1
SensorDrift,AS1,4.328926642652772,1
PacketDelay,AS2,7.252195206127033,1
AnalyticsFailure,AS3,11.759051305806908,1
SensorDrift,AS1,4.4021060648784935,1
ActuatorFailure,AS5,9.964467613180597,1
CommunicationLoss,AS2,8.203279235762084,1
GatewayFailure,AS2,9.226057120399668,1
CommunicationLoss,AS2,8.730541399966762,1
SensorDrift,AS1,4.466609055585597,0
ModelDrift,AS3,14.497670671279604,1
AnalyticsFailure,AS3,12.676214344712024,1
SensorDrift,AS1,4.269480290665118,1
SensorDrift,AS1,4.673153023539717,0
InformationDelay,AS4,5.490936126852121,1
CommunicationLoss,AS2,8.213681830474197,1
PacketDelay,AS2,6.38980193843214,1
ActuatorFailure,AS5,10.031023118259075,1
PacketDelay,AS2,6.086415181438288,1
AnalyticsFailure,AS3,12.594981983299958,1
ModelDrift,AS3,12.731672459544486,0
CommunicationLoss,AS2,8.479788885899577,1
AnalyticsFailure,AS3,12.249985089439274,0
AnalyticsFailure,AS3,12.500586640128937,1
PacketDelay,AS2,6.328762789428978,1
CommunicationLoss,AS2,8.071142355008043,0
SensorNoise,AS1,3.367576520517641,1
MissingData,AS1,5.014894743659117,0
SensorDrift,AS1,4.265192909721241,1
MissingData,AS1,5.268445187374027,1
GatewayFailure,AS2,8.932563328185086,1
CommunicationLoss,AS2,8.72358301004959,1
CommunicationLoss,AS2,9.024018011424381,1
SensorDrift,AS1,4.44050109155704,1
MissingData,AS1,5.099459867482343,1
ModelDrift,AS3,11.96820975645303,1
CommunicationLoss,AS2,7.988983531897318,1
SensorNoise,AS1,3.5916105347332508,0
ModelDrift,AS3,14.23811709578652,1
CommunicationLoss,AS2,8.427074082330561,1
CommunicationLoss,AS2,7.738474025020836,1
CommunicationLoss,AS2,7.862686869427462,1
MissingData,AS1,5.021052109779165,1
GatewayFailure,AS2,9.083504151427805,1
InformationDelay,AS4,5.5623541459526145,1
InformationDelay,AS4,6.018020487881905,1
SensorDrift,AS1,4.7474921853968155,1
SensorDrift,AS1,4.2864980618598585,1
SensorDrift,AS1,4.346971572110438,1
MissingData,AS1,4.604619367679304,1
CommunicationLoss,AS2,8.318390859909936,0
AnalyticsFailure,AS3,12.92472914276121,1
SensorNoise,AS1,3.542150049045672,1
SensorNoise,AS1,3.0221103328508954,1
CommunicationLoss,AS2,8.910750851428126,1
ActuatorFailure,AS5,10.164620124461955,1
SensorNoise,AS1,3.6116288197029203,1
AnalyticsFailure,AS3,12.543163635832457,1
AnalyticsFailure,AS3,12.330015324235596,1
SensorDrift,AS1,4.036584147971327,1
PacketDelay,AS2,6.625988394355533,0
SensorDrift,AS1,4.419854569195833,1
CommunicationLoss,AS2,8.395091319914291,1
CommunicationLoss,AS2,8.353428203137584,1
AnalyticsFailure,AS3,11.722163412157466,1
PacketDelay,AS2,6.743830040577215,1
AnalyticsFailure,AS3,12.36294573908722,1
ActuatorFailure,AS5,10.008440146153045,1
CommunicationLoss,AS2,7.98247903435444,1
CommunicationLoss,AS2,8.8410873923354,1
MissingData,AS1,4.752475643042305,1
SensorDrift,AS1,4.601343483677209,1
SensorDrift,AS1,4.685093102144525,1
ModelDrift,AS3,14.047485915931937,1
AnalyticsFailure,AS3,11.866192041250116,1
MissingData,AS1,4.626999982452659,1
PacketDelay,AS2,5.983653778750541,1
CommunicationLoss,AS2,8.032780680498373,1
SensorDrift,AS1,4.559433437190173,1
AnalyticsFailure,AS3,13.2144593154383,1
CommunicationLoss,AS2,8.8071287209236,1
PacketDelay,AS2,5.976234646665057,1
GatewayFailure,AS2,9.334350802876653,1
SensorDrift,AS1,4.533396852913248,1
PacketDelay,AS2,6.840503645626794,1
CommunicationLoss,AS2,7.438965149739538,1
MissingData,AS1,5.412354198934693,1
AnalyticsFailure,AS3,11.73387626223844,1
SensorNoise,AS1,3.5140451421706382,1
SensorNoise,AS1,3.361889878079095,1
CommunicationLoss,AS2,7.979868028914896,1
MissingData,AS1,5.10455840918409,0
ModelDrift,AS3,13.245655065930283,1
CommunicationLoss,AS2,7.952316468009703,1
AnalyticsFailure,AS3,11.517811579963015,1
SensorNoise,AS1,3.437325513188075,1
CommunicationLoss,AS2,7.791899270060844,1
SensorDrift,AS1,4.55124425884692,1
CommunicationLoss,AS2,8.871216394164483,1
PacketDelay,AS2,6.897246360980079,1
CommunicationLoss,AS2,8.909325410453928,1
SensorDrift,AS1,4.726860364304745,1
CommunicationLoss,AS2,8.391191647091393,1
MissingData,AS1,5.0327388735451555,0
CommunicationLoss,AS2,8.85637129525208,1
CommunicationLoss,AS2,8.834495621165518,1
MissingData,AS1,5.01870955209372,1
SensorNoise,AS1,3.4423411810326243,1
SensorNoise,AS1,3.0867040159318844,1
MissingData,AS1,5.220806848607359,1
SensorDrift,AS1,4.646182161550794,1
SensorNoise,AS1,3.2531567960762713,1
ActuatorFailure,AS5,10.720823091940217,1
SensorNoise,AS1,3.0957806285606675,1
SensorDrift,AS1,4.5703017775099495,1
GatewayFailure,AS2,9.516107882340998,1
SensorNoise,AS1,3.3133903520822843,1
CommunicationLoss,AS2,7.645752559717813,0
PacketDelay,AS2,6.157646231736775,1
SensorDrift,AS1,4.157402799724852,0
CommunicationLoss,AS2,8.257645365065523,1
CommunicationLoss,AS2,8.044067513915135,1
SensorDrift,AS1,4.482653179729869,1
SensorNoise,AS1,3.0464212853839387,1
SensorDrift,AS1,4.094751846349505,1
CommunicationLoss,AS2,8.51674655054969,1
CommunicationLoss,AS2,7.651319812916685,1
SensorDrift,AS1,4.208781955989682,1
SensorDrift,AS1,4.6446038466053805,1
SensorDrift,AS1,4.320585482864895,1
PacketDelay,AS2,6.848429168401094,1
AnalyticsFailure,AS3,11.105386871655657,1
CommunicationLoss,AS2,8.991585925956342,1
SensorNoise,AS1,3.3952622824353416,1
MissingData,AS1,4.504579393854818,1
PacketDelay,AS2,6.415483356551133,1
InformationDelay,AS4,6.475007539819383,1
PacketDelay,AS2,6.165076204790417,1
PacketDelay,AS2,7.099587709364665,1
SensorNoise,AS1,3.234513159425297,0
SensorDrift,AS1,4.708590988672195,1
CommunicationLoss,AS2,7.611543318023116,1
SensorNoise,AS1,3.5714096624396388,1
SensorNoise,AS1,3.3734732844727904,1
GatewayFailure,AS2,10.652301488073935,1
SensorDrift,AS1,4.389548043753095,1
InformationDelay,AS4,6.237518018336803,1
CommunicationLoss,AS2,8.651979290332429,1
PacketDelay,AS2,7.092549504090525,1
AnalyticsFailure,AS3,11.93749193520357,1
SensorDrift,AS1,4.524435918470409,1
CommunicationLoss,AS2,8.43630811862673,1
CommunicationLoss,AS2,8.199326745462324,1
PacketDelay,AS2,6.363236636504362,1
InformationDelay,AS4,6.111099639374123,1
CommunicationLoss,AS2,8.157911646158109,1
ModelDrift,AS3,12.193386089421592,1
PacketDelay,AS2,6.484286882931726,1
SensorDrift,AS1,4.807590698486405,1
ActuatorFailure,AS5,11.340111163834063,1
CommunicationLoss,AS2,8.772371332852654,1
CommunicationLoss,AS2,8.414919400071135,1
InformationDelay,AS4,5.562898797011206,1
ActuatorFailure,AS5,12.02175410359955,1
PacketDelay,AS2,6.0004271050086455,1
ActuatorFailure,AS5,10.800263665879633,1
MissingData,AS1,5.2986724280489055,1
MissingData,AS1,4.789554213111759,1
ModelDrift,AS3,13.069332135971667,1
CommunicationLoss,AS2,8.248067259469309,1
SensorNoise,AS1,3.2887350959337116,1
AnalyticsFailure,AS3,12.29010161340411,1
CommunicationLoss,AS2,8.41590093597893,1
SensorNoise,AS1,3.6164705017353294,1
ActuatorFailure,AS5,12.019905782895457,0
ModelDrift,AS3,12.969648048212116,1
PacketDelay,AS2,6.865972489737749,1
CommunicationLoss,AS2,8.468762419436985,1
CommunicationLoss,AS2,7.9947344084826595,1
PacketDelay,AS2,7.20499091770286,1
SensorNoise,AS1,3.046167466507193,1
InformationDelay,AS4,6.252260258043183,1
ModelDrift,AS3,12.634849867794962,1
SensorDrift,AS1,3.982239484303936,1
GatewayFailure,AS2,10.395366336966706,1
CommunicationLoss,AS2,8.809979993867532,1
SensorDrift,AS1,3.988429617253248,1
CommunicationLoss,AS2,8.851988450587596,1
PacketDelay,AS2,6.975285468189571,1
CommunicationLoss,AS2,8.953699938428487,1
CommunicationLoss,AS2,7.940879068476147,1
CommunicationLoss,AS2,8.858602436173902,1
ActuatorFailure,AS5,11.294334686921419,1
CommunicationLoss,AS2,8.643442553621446,1
MissingData,AS1,4.899326773178962,0
ModelDrift,AS3,12.19509406176063,1
AnalyticsFailure,AS3,11.279447816411006,1
MissingData,AS1,4.6082576408203035,1
AnalyticsFailure,AS3,13.146364114682283,1
GatewayFailure,AS2,10.043900441298764,1
ModelDrift,AS3,12.460699720728753,1
CommunicationLoss,AS2,8.32108225588582,1
MissingData,AS1,5.111701131675876,1
CommunicationLoss,AS2,8.445162991623008,1
ModelDrift,AS3,13.594152299338893,1
CommunicationLoss,AS2,8.484736187104932,0
ModelDrift,AS3,14.218142819756821,1
SensorDrift,AS1,4.185799689854748,1
GatewayFailure,AS2,9.917296474145372,1
MissingData,AS1,4.772109629577069,1
CommunicationLoss,AS2,8.459439575359438,1
SensorDrift,AS1,4.563156561056557,1
ModelDrift,AS3,14.199602291712399,1
SensorDrift,AS1,4.023466034064174,1
SensorDrift,AS1,4.037018390182095,1
CommunicationLoss,AS2,8.373687785533606,1
SensorDrift,AS1,4.514591192870694,1
MissingData,AS1,5.090008519016823,1
PacketDelay,AS2,6.865164281425565,1
ModelDrift,AS3,13.957394609829185,1
ActuatorFailure,AS5,11.708669214349918,1
ModelDrift,AS3,12.912220372732536,1
PacketDelay,AS2,6.130179709445198,1
PacketDelay,AS2,6.902708441132916,1
ActuatorFailure,AS5,11.121153440408579,1
CommunicationLoss,AS2,8.328416992817193,1
AnalyticsFailure,AS3,12.646768379003712,1
CommunicationLoss,AS2,7.660050943237355,1
InformationDelay,AS4,5.583693275969052,1
MissingData,AS1,5.198531396039175,0
SensorNoise,AS1,3.0182754176246434,1
CommunicationLoss,AS2,8.382982828124346,0
CommunicationLoss,AS2,7.811979200430769,1
SensorDrift,AS1,4.356568460829143,1
PacketDelay,AS2,6.686528650434745,1
PacketDelay,AS2,5.946378085117367,1
CommunicationLoss,AS2,8.144604709047986,1
SensorNoise,AS1,3.5494046474752556,1
CommunicationLoss,AS2,8.335258513164327,1
ModelDrift,AS3,14.14700405017891,1
InformationDelay,AS4,6.517466356815465,1
SensorDrift,AS1,4.515831315125905,1
ActuatorFailure,AS5,10.368073509587854,1
PacketDelay,AS2,6.652373794191907,1
PacketDelay,AS2,7.116697557711835,1
AnalyticsFailure,AS3,12.102718074733,1
ActuatorFailure,AS5,10.425537769984901,0
SensorDrift,AS1,4.62634134272069,1
CommunicationLoss,AS2,8.358590679526568,1
ActuatorFailure,AS5,10.689350185460773,1
SensorDrift,AS1,4.285102963193777,1
SensorNoise,AS1,3.208425900609355,1
InformationDelay,AS4,6.631513636296356,1
AnalyticsFailure,AS3,12.897746116681835,1
AnalyticsFailure,AS3,11.310716555800411,1
PacketDelay,AS2,7.042819169333171,1
SensorNoise,AS1,3.3108053762305967,1
PacketDelay,AS2,6.576385318421328,1
PacketDelay,AS2,6.15859968560627,1
MissingData,AS1,4.64003661905068,1
SensorDrift,AS1,4.162704772687406,1
GatewayFailure,AS2,9.858052992585764,1
InformationDelay,AS4,5.497204640915551,1
GatewayFailure,AS2,8.987597913174177,1
SensorNoise,AS1,3.3109828571411772,1
CommunicationLoss,AS2,8.87453982187251,1
AnalyticsFailure,AS3,11.414156071298363,1
InformationDelay,AS4,5.710430215930492,1
ActuatorFailure,AS5,10.300145134114219,1
GatewayFailure,AS2,9.588489123629458,1
AnalyticsFailure,AS3,11.822817756235272,1
ActuatorFailure,AS5,11.718331208296378,1
AnalyticsFailure,AS3,12.341549388427056,0
ModelDrift,AS3,12.12602150971529,1
ActuatorFailure,AS5,9.9026404527823,0
SensorDrift,AS1,4.3302019376004655,1
SensorDrift,AS1,4.785811032548727,1
CommunicationLoss,AS2,8.752624714175614,0
CommunicationLoss,AS2,8.127057504809702,1
SensorDrift,AS1,4.033759471247157,1
CommunicationLoss,AS2,7.434024599344251,1
InformationDelay,AS4,5.898786156862982,1
PacketDelay,AS2,6.080689845713286,1
InformationDelay,AS4,6.09368691796444,1
PacketDelay,AS2,6.464639475618027,1
SensorDrift,AS1,4.117273246093001,1
MissingData,AS1,5.026874641559369,1
SensorDrift,AS1,4.72017086342103,1
ModelDrift,AS3,14.386007271015194,1
MissingData,AS1,5.247845196016658,1
PacketDelay,AS2,6.453616858372337,1
CommunicationLoss,AS2,8.203253289145767,1
ModelDrift,AS3,12.091304904876921,1
AnalyticsFailure,AS3,12.375796729534448,1
InformationDelay,AS4,6.5893161879931865,1
SensorDrift,AS1,4.137502373669293,1
SensorNoise,AS1,2.992182171921531,1
ActuatorFailure,AS5,10.272862361988826,1
SensorDrift,AS1,4.098551389548344,0
CommunicationLoss,AS2,8.07698614313449,1
SensorDrift,AS1,4.0203831113046125,1
SensorDrift,AS1,4.765207897074376,1
InformationDelay,AS4,6.1786997236706265,1
SensorDrift,AS1,4.189774604991307,1
PacketDelay,AS2,6.328412408297919,0
SensorDrift,AS1,4.730979480693899,1
SensorNoise,AS1,3.6075966007178506,1
AnalyticsFailure,AS3,13.21619771522991,1
SensorDrift,AS1,3.9840686138282253,1
CommunicationLoss,AS2,7.788630832857686,1
MissingData,AS1,4.80456530281409,1
AnalyticsFailure,AS3,11.585240790583812,1
SensorNoise,AS1,3.33600399266721,1
ActuatorFailure,AS5,11.162167762160053,1
AnalyticsFailure,AS3,11.35020534476324,1
PacketDelay,AS2,6.290335092790037,1
SensorDrift,AS1,4.2733040885424325,1
AnalyticsFailure,AS3,12.49548626953549,1
CommunicationLoss,AS2,7.494734159106146,1
SensorDrift,AS1,4.827117969805515,1
SensorDrift,AS1,4.826267320756249,1
CommunicationLoss,AS2,8.376497557473227,1
CommunicationLoss,AS2,8.317267110226515,1
CommunicationLoss,AS2,7.713420597496431,0
CommunicationLoss,AS2,8.562197405948423,1
InformationDelay,AS4,6.186461496597745,1
GatewayFailure,AS2,9.843263822182143,1
CommunicationLoss,AS2,7.772378595482583,1
SensorDrift,AS1,4.206073988055002,1
AnalyticsFailure,AS3,12.634373411784152,1
PacketDelay,AS2,6.1988034426608225,1
GatewayFailure,AS2,8.929289736372846,1
SensorDrift,AS1,4.514973746351646,1
MissingData,AS1,4.703464293155947,1
SensorDrift,AS1,4.012832012397135,1
PacketDelay,AS2,6.533808361164206,1
MissingData,AS1,5.377526130019992,1
CommunicationLoss,AS2,8.546316654899288,1
SensorDrift,AS1,4.43382566387649,0
ModelDrift,AS3,13.227573547415313,1
CommunicationLoss,AS2,8.43754522444877,1
CommunicationLoss,AS2,8.481958076974253,0
MissingData,AS1,4.855724992904155,1
MissingData,AS1,4.768709459278606,1
PacketDelay,AS2,6.298047493783781,1
ActuatorFailure,AS5,11.191223501757223,0
SensorDrift,AS1,3.980328961238527,1
SensorDrift,AS1,4.576613297013722,1
GatewayFailure,AS2,9.036308951190499,1
AnalyticsFailure,AS3,11.850770300239613,1
CommunicationLoss,AS2,7.564113589975789,0
PacketDelay,AS2,6.9136230612927045,1
MissingData,AS1,4.623901904436093,1
ModelDrift,AS3,14.16159661395139,1
ActuatorFailure,AS5,11.106799603839656,1
MissingData,AS1,5.039922617313328,1
SensorDrift,AS1,4.342780086849963,1
SensorNoise,AS1,3.287890110583462,1
MissingData,AS1,4.712208973498347,1
SensorDrift,AS1,4.372894200614743,1
CommunicationLoss,AS2,8.212160666244905,1
AnalyticsFailure,AS3,11.449541252316365,1
PacketDelay,AS2,6.679931753404294,1
SensorDrift,AS1,4.302956477470813,1
GatewayFailure,AS2,9.384332393578351,1
InformationDelay,AS4,6.273414751358009,1
SensorDrift,AS1,4.323355411331658,1
CommunicationLoss,AS2,8.475872970754773,1
SensorDrift,AS1,4.12525470943873,1
SensorDrift,AS1,4.815652692392474,1
MissingData,AS1,4.463122048456091,1
MissingData,AS1,4.763460918351025,1
MissingData,AS1,5.2385104671226435,1
AnalyticsFailure,AS3,11.025612793452582,1
ModelDrift,AS3,14.244645302755119,1
SensorDrift,AS1,4.817646682530405,1
PacketDelay,AS2,6.266254092258641,0
CommunicationLoss,AS2,7.580034501551684,1
CommunicationLoss,AS2,9.01100292924777,0
CommunicationLoss,AS2,8.653795554837172,1
AnalyticsFailure,AS3,11.37091118896181,0
MissingData,AS1,4.566799174723076,1
SensorNoise,AS1,3.152226028933376,1
CommunicationLoss,AS2,7.4942890588848075,1
SensorDrift,AS1,4.286830823706846,1
ActuatorFailure,AS5,10.644528612851108,0
SensorDrift,AS1,4.272855554276898,1
InformationDelay,AS4,6.035289887126807,1
AnalyticsFailure,AS3,11.730508928070751,0
MissingData,AS1,4.828991247077181,1
CommunicationLoss,AS2,8.590932865231299,1
SensorDrift,AS1,4.458697525890407,1
CommunicationLoss,AS2,8.856642035929314,1
CommunicationLoss,AS2,8.301376760049106,1
SensorDrift,AS1,4.359589502220105,1
CommunicationLoss,AS2,8.88183841467565,1
InformationDelay,AS4,5.833039854112375,1
CommunicationLoss,AS2,7.738284596537912,1
GatewayFailure,AS2,9.470595585396499,1
SensorNoise,AS1,3.4048680799008064,1
SensorDrift,AS1,3.9875209034817636,1
SensorDrift,AS1,4.524741467952309,1
AnalyticsFailure,AS3,12.318528207237806,1
SensorDrift,AS1,3.971515776653482,1
SensorNoise,AS1,3.51917128036001,1
CommunicationLoss,AS2,8.651737777502108,1
ModelDrift,AS3,12.033912064540516,1
SensorNoise,AS1,3.5207412888152683,1
SensorDrift,AS1,4.049078106270368,1
CommunicationLoss,AS2,8.508846247646652,1
InformationDelay,AS4,6.120351344662707,1
MissingData,AS1,5.122747638107341,1
SensorNoise,AS1,3.4930246545304486,1
SensorNoise,AS1,3.3223743148071034,1
PacketDelay,AS2,6.666107371961559,0
SensorDrift,AS1,4.517251923523229,1
CommunicationLoss,AS2,8.325283295310896,1
PacketDelay,AS2,6.41521127931312,1
ModelDrift,AS3,11.971510061882475,1
SensorDrift,AS1,4.225620655460511,1
CommunicationLoss,AS2,7.46080726290504,1
AnalyticsFailure,AS3,12.229864830950477,1
MissingData,AS1,4.492358937082932,1
MissingData,AS1,5.0313341492962715,1
SensorDrift,AS1,4.311822458660433,1
AnalyticsFailure,AS3,12.808828150240561,1
PacketDelay,AS2,6.700626849545243,1
PacketDelay,AS2,6.904641957782286,1
CommunicationLoss,AS2,8.696987481055729,1
CommunicationLoss,AS2,8.856921309969515,1
MissingData,AS1,5.051278617973377,1
CommunicationLoss,AS2,7.927892598250751,1
CommunicationLoss,AS2,8.253962657237935,1
ActuatorFailure,AS5,12.036288538428813,1
CommunicationLoss,AS2,8.137693855748639,1
SensorDrift,AS1,4.378752095869689,1
ActuatorFailure,AS5,10.776759482204996,1
